,epoch,train_loss,val_loss
0,1,0.17711168796312612,0.0
1,2,0.09194794614784053,0.0
2,3,0.07842390081982632,0.0
3,4,0.07145573032378662,0.0
4,5,0.06668453884967526,0.08019314221960665
5,6,0.061242049178261246,0.0
6,7,0.06017447888209927,0.0
7,8,0.05741503891977863,0.0
8,9,0.05445736223740167,0.0
9,10,0.050518220267640274,0.07587142193045922
10,11,0.04958376066270666,0.0
11,12,0.04844351196050888,0.0
12,13,0.04671610191800311,0.0
13,14,0.04633798808256378,0.0
14,15,0.04593621261540006,0.07135902107625768
15,16,0.0429054272788592,0.0
16,17,0.04488249475777638,0.0
17,18,0.0437055392740447,0.0
18,19,0.0434532831041295,0.0
19,20,0.04327761762027369,0.07141980095371203
20,21,0.0422399773598328,0.0
21,22,0.04311292468890792,0.0
22,23,0.042312051047433595,0.0
23,24,0.041395396688861434,0.0
24,25,0.04172722053271337,0.07153295073079767
25,26,0.040524170085116,0.0
26,27,0.0392186637418192,0.0
27,28,0.04095539262090794,0.0
28,29,0.040361143121892804,0.0
29,30,0.03992686527552175,0.0700657820140106
