,epoch,train_loss,val_loss
0,1,843.2739124298096,0.0
1,2,832.4433417320251,0.0
2,3,817.3381662368774,0.0
3,4,809.5757002830505,0.0
4,5,801.253960609436,0.0
5,6,786.9302217960358,0.0
6,7,780.8936011791229,0.0
7,8,776.9313597679138,0.0
8,9,770.1419486999512,0.0
9,10,759.1504139900208,785.0406563282013
10,11,749.1934461593628,0.0
11,12,744.2297775745392,0.0
12,13,741.3967361450195,0.0
13,14,735.9180824756622,0.0
14,15,725.1981630325317,0.0
15,16,722.2916719913483,0.0
16,17,713.4909527301788,0.0
17,18,708.1548542976379,0.0
18,19,702.7209904193878,0.0
19,20,691.7024750709534,742.3302597999573
20,21,687.5203192234039,0.0
21,22,686.6254296302795,0.0
22,23,679.5388376712799,0.0
23,24,675.2901887893677,0.0
24,25,674.5535593032837,0.0
25,26,663.3562452793121,0.0
26,27,657.3920831680298,0.0
27,28,645.92422914505,0.0
28,29,642.8157651424408,0.0
29,30,648.038595199585,724.3835270404816
30,31,643.6784241199493,0.0
31,32,637.6984350681305,0.0
32,33,633.455539226532,0.0
33,34,634.0762333869934,0.0
34,35,623.9150815010071,0.0
35,36,624.3019671440125,0.0
36,37,621.0617680549622,0.0
37,38,620.2989432811737,0.0
38,39,616.7359597682953,0.0
39,40,607.5939984321594,686.5854451656342
40,41,603.0224421024323,0.0
41,42,606.3526449203491,0.0
42,43,597.7459075450897,0.0
43,44,597.8376700878143,0.0
44,45,600.3168103694916,0.0
45,46,591.7361714839935,0.0
46,47,587.9839029312134,0.0
47,48,588.9560182094574,0.0
48,49,579.7452762126923,0.0
49,50,576.8684527873993,673.0901956558228
50,51,578.1089098453522,0.0
